dateChecked,state,StateName,DateofStayatHomeOrder,DaysSinceStayatHomeOrder,DaysSinceFirstPositive,DaysSinceTestStart,positive,negative,pending,death,hospitalized,totaltests,recovered,inIcuCumulative,onVentilatorCumulative,TotalPop2018,15-49yearsAllcauses,15-49yearsAsthma,15-49yearsChronickidneydisease,15-49yearsChronicobstructivepulmonarydisease,15-49yearsDiabetesmellitus,15-49yearsInterstitiallungdiseaseandpulmonarysarcoidosis,15-49yearsIschemicheartdisease,15-49yearsNeoplasms,15-49yearsOtherchronicrespiratorydiseases,15-49yearsRheumaticheartdisease,15-49yearsStroke,50-69yearsAllcauses,50-69yearsAsthma,50-69yearsChronickidneydisease,50-69yearsChronicobstructivepulmonarydisease,50-69yearsDiabetesmellitus,50-69yearsInterstitiallungdiseaseandpulmonarysarcoidosis,50-69yearsIschemicheartdisease,50-69yearsNeoplasms,50-69yearsOtherchronicrespiratorydiseases,50-69yearsRheumaticheartdisease,50-69yearsStroke,70+yearsAllcauses,70+yearsAsthma,70+yearsChronickidneydisease,70+yearsChronicobstructivepulmonarydisease,70+yearsDiabetesmellitus,70+yearsInterstitiallungdiseaseandpulmonarysarcoidosis,70+yearsIschemicheartdisease,70+yearsNeoplasms,70+yearsOtherchronicrespiratorydiseases,70+yearsRheumaticheartdisease,70+yearsStroke,AllAgesAllcauses,AllAgesAsthma,AllAgesChronickidneydisease,AllAgesChronicobstructivepulmonarydisease,AllAgesDiabetesmellitus,AllAgesInterstitiallungdiseaseandpulmonarysarcoidosis,AllAgesIschemicheartdisease,AllAgesNeoplasms,AllAgesOtherchronicrespiratorydiseases,AllAgesRheumaticheartdisease,AllAgesStroke,AllAgesTotal,Airpollution,Highbody-massindex,Highfastingplasmaglucose,HighLDLcholesterol,Highsystolicbloodpressure,Impairedkidneyfunction,Noaccesstohandwashingfacility,Smoking,Log10Pop,PercentUrbanPop,Density(P/mi2),Adults19-25,Adults26-34,Adults35-54,Adults55-64,65+,DaysSinceInfection,LandArea(mi2),Children0-18,Allriskfactors
4/3/2020,AL,Alabama,NaN,NaN,22,24,1432,8187,NaN,35,NaN,9619,NaN,NaN,NaN,4908621,570168.6587,3659.7009,6681.144192,6749.814568,13565.08879,886.5497221,21828.68842,34900.24792,1213.591906,817.4841169,10757.57736,703110.5178,2810.087619,16545.83126,47609.32695,38724.87416,2924.685506,80013.04456,155300.9985,1269.670979,1843.210299,33666.19258,505829.8863,1352.336696,15918.71659,47156.08242,19890.42277,3052.268454,72780.08195,94067.79564,474.1870658,1952.986147,39548.02721,1875057.249,10455.99462,39508.1184,101688.7664,72351.04243,6905.402659,174621.8149,286762.7583,3307.422404,4682.703699,84590.65171,2659931.925,120555.1909,464371.1943,409403.5928,180755.5756,343659.7833,131418.7291,761.1337023,469931.0534,6.690959501,59,96.9221,0.09,0.12,0.25,0.14,0.17,20,50645,0.24,1837700.899
4/3/2020,AK,Alaska,3/27/20,7,22,29,157,5859,NaN,3,15,6016,NaN,NaN,NaN,734002,84649.60526,580.2882576,577.1780923,597.197965,1475.908519,107.7465438,1515.344663,4405.979504,125.8331419,105.1732169,894.8796381,82939.0716,401.0250553,1255.875848,4084.72096,4197.864532,370.598334,7401.111054,17358.201,118.7649298,227.2418276,2756.291431,40420.0516,126.2119017,955.4448686,3326.558171,1730.343499,294.3186872,4488.027423,8223.517066,35.58487815,156.8542468,2673.487967,222098.06,1486.811652,2828.817996,8034.549041,7436.429,779.8432809,13404.48314,30416.84967,330.8992506,501.5615967,6390.339899,293708.6445,6290.441832,42849.93964,31928.93365,14174.61076,26325.63884,9116.36826,66.98381663,39514.96032,5.865697243,66,1.2863,0.09,0.13,0.26,0.13,0.12,21,570641,0.27,195489.7993
4/3/2020,AZ,Arizona,3/30/20,4,31,31,1769,22904,NaN,41,249,24673,NaN,91,NaN,7378494,708921.0209,6607.997304,5886.243784,5896.852324,14692.67765,752.5754032,12690.99594,34832.72948,1097.756995,546.9549033,7113.790544,750472.5258,4818.78721,15116.66407,41918.09532,42924.23671,3044.92581,65054.41109,144131.4177,1049.049717,1124.409553,22948.29392,616221.717,2592.178584,16877.71971,55839.28765,26990.53817,4238.704248,75510.95134,109764.8798,444.6937818,1332.714132,36100.03324,2189375.953,18354.71442,38216.01756,103902.4778,84873.08031,8089.374624,153256.3584,291804.5628,3015.503897,3064.258519,66658.91651,2960611.218,95028.90799,459583.5942,388586.8607,148145.201,300580.1802,120708.2158,769.0565857,420957.929,6.867967728,89.8,64.955,0.09,0.12,0.24,0.12,0.18,23,113594,0.24,1955853.497
4/3/2020,AR,Arkansas,NaN,NaN,23,29,704,8995,NaN,12,NaN,9699,60,NaN,39,3038999,330253.9607,2118.701553,3729.848364,3751.646255,7475.925976,461.5540022,14101.39954,21413.27526,643.2471886,429.9552748,5990.316882,402470.1963,1547.30825,9303.334992,27976.41092,20812.77906,1494.785506,53244.62628,89342.75386,640.7658334,879.6280878,17328.44332,311717.0448,734.680507,9984.189914,28970.49407,12246.13233,1748.873922,47973.03829,57667.79705,246.4987347,946.0002926,23809.64814,1099801.386,5745.768294,23217.74036,60808.9638,40656.3634,3729.066963,115319.0641,170051.9796,1733.762276,2295.539676,47487.66275,1570847.297,71944.75185,270348.9552,227480.5034,117399.1199,211980.4935,78734.44202,429.2069822,277288.2896,6.482730557,56.2,58.403,0.09,0.12,0.25,0.13,0.17,21,52035,0.25,1064295.644
4/3/2020,CA,California,3/19/20,15,31,31,10701,24599,59500,237,NaN,94800,NaN,NaN,NaN,39937489,3437984.307,32212.49492,32470.75597,28301.62793,66752.55995,3438.40443,64898.14355,190800.7865,5150.799699,2673.830694,43291.1537,3573154.847,23680.86483,77088.45726,153629.1418,191548.818,14603.77542,303142.8028,706944.4817,4294.187245,5311.322057,125404.9559,2734122.96,12160.12578,78321.85247,203601.0201,116779.2144,19429.99513,358764.1174,494642.1598,1738.662857,6428.183248,177829.8927,10302639.66,88895.68233,189382.092,386718.3723,376253.3828,37691.15321,726805.0637,1408565.741,12989.20552,14669.40703,348969.1851,13893578.94,497118.5683,2263098.469,1730000.462,715937.9694,1482464.827,591806.6204,3561.489181,1780659.186,7.601380756,95,256.3727,0.09,0.14,0.26,0.12,0.14,23,155779,0.24,8742412.723
4/3/2020,CO,Colorado,3/25/20,9,29,30,3728,16683,NaN,97,710,20411,NaN,NaN,NaN,5845526,497995.8611,4454.267499,3439.575323,4260.013597,7218.405519,573.9606983,7958.768406,24616.35757,817.601596,509.788522,4960.169862,519230.9561,3201.529694,8305.934561,29937.72797,20428.62458,2260.83253,38384.603,100159.913,760.7649107,1146.447349,15882.85808,382328.52,1612.904841,9533.11774,37410.73315,12381.76379,2769.438765,40098.54067,67570.22531,332.7945436,1312.23768,23851.65958,1480322.56,12159.25771,21473.89377,71787.23727,40200.64324,5643.587425,86441.91208,194631.3848,2225.670371,3024.609065,45034.50072,1962945.256,43939.0563,261958.6634,188187.3587,86539.07036,179979.5465,68151.13053,499.5757173,246844.6558,6.766823597,86.2,56.4011,0.09,0.14,0.26,0.13,0.14,22,103642,0.24,1217428.927
4/3/2020,CT,Connecticut,3/20/20,14,27,27,4914,15101,NaN,131,NaN,20015,NaN,NaN,NaN,3563077,320803.4684,3628.005257,2512.95758,3048.213384,6122.917276,402.3118338,6292.185793,18023.55941,566.1987375,271.9019214,3208.12381,389203.1469,2959.054147,6814.336492,18714.89548,20817.8795,1668.641251,30764.90138,83254.91615,595.768012,659.3312811,11335.06836,326665.3707,1450.257492,8749.743771,25058.59854,13495.60208,2230.917896,39690.98808,61154.49097,257.1737761,889.4910965,19140.92628,1084531.584,10300.10819,18200.08292,46926.07636,40541.86982,4317.252487,76748.07525,163623.5134,1582.497893,1838.221782,33863.95702,1482473.239,43483.68055,232051.2306,193246.7186,74876.27709,148029.5428,59587.03105,427.2009156,207027.4356,6.551825208,88,735.8689,0.08,0.11,0.27,0.15,0.17,20,4842,0.22,944175.0039
4/3/2020,DE,Delaware,3/22/20,12,24,29,450,4995,NaN,14,NaN,5445,71,NaN,NaN,982895,93183.49786,802.3096667,896.0584044,905.9745662,2011.653656,136.7105504,2024.536689,5587.211387,171.0707364,84.83939221,1011.172455,116737.3287,647.6563306,2598.073846,6293.356491,6868.5411,517.8959151,10985.58357,25962.67837,183.6343765,231.8758755,3811.382174,93107.21866,330.0263697,2729.595588,7681.644417,4333.993092,592.0783085,12512.98815,17760.71894,74.60495768,245.7453418,5881.143152,319305.9816,2315.057346,6272.834083,14911.54152,13249.07327,1253.435857,25523.10841,49710.9032,481.9632998,569.8256462,10766.80076,444360.525,17583.57323,74754.19813,66871.10721,24886.00489,48799.55974,20197.54069,122.0996776,67353.90365,5.992507126,83.3,504.3073,0.08,0.12,0.25,0.14,0.19,21,1949,0.22,299583.7931
4/3/2020,DC,District of Columbia,3/30/20,4,27,30,757,4827,NaN,15,NaN,5584,206,NaN,NaN,720687,76287.87679,627.8242655,966.1737804,419.1861846,1360.529973,103.3193211,1455.000458,4974.629539,100.9001337,54.09091452,910.8354179,65954.13844,347.5343696,1752.884716,1994.38999,3006.977687,307.9807322,7109.035922,15572.14741,91.34841606,113.011811,2405.557882,43213.37865,156.7310693,1488.503383,2035.991945,1767.421883,282.217701,6304.994246,8148.950882,32.34142585,89.80900274,2664.104712,200485.8536,1420.614828,4277.707417,4460.522537,6156.712703,697.5708398,14869.03063,29039.8946,249.2831654,261.7857015,6034.580321,267953.5563,8274.662337,47576.48788,30294.73233,14891.39668,36242.01878,12603.99727,77.40433482,34414.0452,5.857746688,100,11814.541,0.1,0.21,0.27,0.1,0.12,22,61,0.2,185095.0021
4/3/2020,FL,Florida,4/1/20,2,31,31,9585,82137,1225,163,1287,92947,NaN,NaN,NaN,21992985,1936007.43,15252.68057,17829.47284,20978.20563,41518.90918,2245.07521,44591.26422,109145.1578,3521.233896,1378.645977,24937.95759,2514491.024,13203.09872,49447.1303,148779.1489,143598.396,9836.781768,221078.1059,529609.2458,3680.377999,3274.893932,88030.74696,2226033.317,7709.122462,59804.90436,191654.1416,100249.1043,14397.49175,291383.6822,409616.5547,1490.036507,4373.58266,134131.6855,6992550.744,46930.68226,127989.8344,362055.1522,286035.9769,26629.00972,557053.0523,1057014.221,9758.907878,9175.396167,248652.552,9723845.529,280763.9539,1627131.448,1404097.333,539553.4854,1118425.468,424978.2759,2201.266051,1532184.386,7.342284178,91.2,410.1256,0.08,0.12,0.25,0.14,0.21,23,53625,0.21,6447762.712
