dateChecked,state,positive,negative,pending,hospitalizedCumulative,death,inIcuCumulative,onVentilatorCumulative,recovered,total,hash,hospitalizedCurrently,onVentilatorCurrently,inIcuCurrently,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
3/6/2020,AK,0,8,1,,,,,,9,b95ff00414e9a5542ba2aa08fdfda0b023c7c69c,,,,8,8,2,,,,,
3/7/2020,AK,0,12,2,,,,,,14,71953eb42494f6000afda41cda80b1b3dc836a83,,,,12,12,2,0,0,4,0,4
3/8/2020,AK,0,14,6,,,,,,20,844624448b0ee3ff7dd240e0d3f4258de1563064,,,,14,14,2,0,0,2,0,2
3/9/2020,AK,0,23,9,,,,,,32,b5cbe627dd51a6e70136134185391030f93ffcb5,,,,23,23,2,0,0,9,0,9
3/10/2020,AK,0,23,9,,,,,,32,6561feac0f53ef762911b4995038df195c62b2cb,,,,23,23,2,0,0,0,0,0
3/11/2020,AK,0,46,14,,,,,,60,e25f7bc0f21f762541d825d606787c8b6be7b406,,,,46,46,2,0,0,23,0,23
3/12/2020,AK,0,46,14,,,,,,60,e6a2e85fdf548043d8e908d506c334dfa37b0982,,,,46,46,2,0,0,0,0,0
3/13/2020,AK,1,59,,,,,,,60,f912dbdc1e4737b9efd9715f5c60bc397601b547,,,,60,60,2,0,0,13,1,14
3/14/2020,AK,1,143,,,,,,,144,d6e6e61fb8c0d1c2340d7df1983d63227e4dfe0d,,,,144,144,2,0,0,84,0,84
3/15/2020,AK,1,143,,,,,,,144,60c27932a683c3682cf48a12a0e94b719a58f853,,,,144,144,2,0,0,0,0,0
3/16/2020,AK,1,143,,,,,,,144,55b0b029eac24362c03262d39c1daf9fd34c4e6d,,,,144,144,2,0,0,0,0,0
3/17/2020,AK,3,334,,,,,,,337,c1859e4b0fcf9f53476595916f4e354d9cdddd40,,,,337,337,2,0,0,191,2,193
3/18/2020,AK,6,406,,,,,,,412,9a4073089834406984fd876567aa45194de3d9d7,,,,412,412,2,0,0,72,3,75
3/19/2020,AK,6,432,,,,,,,438,5cc91902e24fad7f218a89c4d57c03ceaf0546ed,,,,438,438,2,0,0,26,0,26
3/20/2020,AK,12,686,,,,,,,698,19aa2fa5c05198d53bfc983c6a895fd277ac1170,,,,698,698,2,0,0,254,6,260
3/21/2020,AK,14,758,,0,,,,,772,b050951c91b95024044c0e9cd3260ade47c193bd,,,,772,772,2,0,0,72,2,74
3/22/2020,AK,22,946,,0,,,,,968,504bd8c46a81250111c4f843793c7109a771b3c1,,,,968,968,2,0,0,188,8,196
3/23/2020,AK,22,946,,0,,,,,968,5b877bb95cb6757628e204dc5d905269b0adeb80,,,,968,968,2,0,0,0,0,0
3/24/2020,AK,36,986,,0,,,,,1022,86d9a09be1d74e12fd125a0d9309b80ca0cdd92d,,,,1022,1022,2,0,0,40,14,54
3/25/2020,AK,42,1649,,1,1,,,,1691,d0981dc0ff9e0b50793d2307ce11831905ea3c01,,,,1691,1691,2,1,1,663,6,669
3/26/2020,AK,59,1801,,3,1,,,,1860,141c8e163d64a2762eb6ce6fab3863ab853929a4,,,,1860,1860,2,0,2,152,17,169
3/27/2020,AK,69,2319,13,3,1,,,,2401,4440492623bf23f8e264cde045f01820bcf5eb1f,,,,2388,2388,2,0,0,518,10,528
3/28/2020,AK,85,2836,,5,2,,,,2921,8a84438657945de664a61b77351faf30fafb9111,,,,2921,2921,2,1,2,517,16,533
3/29/2020,AK,102,3232,,6,2,,,,3334,422bc4f921be7a7ead06e6f738314ef1911a8407,,,,3334,3334,2,0,1,396,17,413
3/30/2020,AK,114,3540,,7,3,,,,3654,98553897a21c05aeec18d5391001f5bdb25eb44e,,,,3654,3654,2,1,1,308,12,320
3/31/2020,AK,119,3594,,7,3,,,,3713,5ec8d7c9ede0e8d30b6f7b63be047ac0ead0b49b,,,,3713,3713,2,0,0,54,5,59
4/1/2020,AK,133,4470,,9,3,,,,4603,28dfb9b2615a8df04f8c622ad2fb590a6f7da833,,,,4603,4603,2,0,2,876,14,890
4/2/2020,AK,143,4879,,9,3,,,,5022,87a29f5de0e12ea1b772006bfa38cdee3327489e,,,,5022,5022,2,0,0,409,10,419
4/3/2020,AK,157,5859,,15,3,,,,6016,192f851a8f9b68576ed308814322d1333b538699,,,,6016,6016,2,0,6,980,14,994
3/7/2020,AL,0,,,,,,,,0,1d94a3b00af81e57b35a00c0eeaa339ec76d962a,,,,0,0,1,,,,,
3/8/2020,AL,0,,,,,,,,0,dc8486565b986e301a3cb52dda7d6014007253e4,,,,0,0,1,0,0,0,0,0
3/9/2020,AL,0,,,,,,,,0,3c15dbef6838aa05f46554b8f49c5d96677df531,,,,0,0,1,0,0,0,0,0
3/10/2020,AL,0,0,0,,,,,,0,d77d1bec988a8d98086652dbe2ec43647b585934,,,,0,0,1,0,0,0,0,0
3/11/2020,AL,0,10,,,,,,,10,e4593577708b6182b9126434908df283def67838,,,,10,10,1,0,0,10,0,10
3/12/2020,AL,0,10,,,,,,,10,34204c36040e342af491e5329aca50e88f2cbaba,,,,10,10,1,0,0,0,0,0
3/13/2020,AL,1,11,,,,,,,12,b9e856f0b5f6b1893dbe080ee99cbebd5723f4f8,,,,12,12,1,0,0,1,1,2
3/14/2020,AL,6,22,46,,,,,,74,5c89c1e4d5be4e39281e7629e2d8969f9d54bb00,,,,28,28,1,0,0,11,5,16
3/15/2020,AL,12,28,46,,0,,,,86,bc792edfeb4365aed8c64e6ff682049380018d28,,,,40,40,1,0,0,6,6,12
3/16/2020,AL,28,28,40,,0,,,,96,3efe0ea61bb6932f1d608f9e24d38fcafaa2c04c,,,,56,56,1,0,0,0,16,16
3/17/2020,AL,36,28,,,0,,,,64,27d195514d6511642ecafb4148f51bd1cf06894d,,,,64,64,1,0,0,0,8,8
3/18/2020,AL,46,28,,,0,,,,74,45a12e7b90dfc3888e7a67b4f579327e80d6dee0,,,,74,74,1,0,0,0,10,10
3/19/2020,AL,68,28,,,0,,,,96,cab25ff0e7f7b888b8cba2df5c54273cad43f3ca,,,,96,96,1,0,0,0,22,22
3/20/2020,AL,81,28,,,0,,,,109,6bbe154eecf958487c0256f6d6b95eae55c038d8,,,,109,109,1,0,0,0,13,13
3/21/2020,AL,124,28,,,0,,,,152,de15c7bdfb3b72e13399f1aaa8d69612f69f0837,,,,152,152,1,0,0,0,43,43
3/22/2020,AL,138,1464,,,0,,,,1602,336c2b990aa3df11f73436c012fb53a71c5b36fd,,,,1602,1602,1,0,0,1436,14,1450
3/23/2020,AL,167,1665,,,0,,,,1832,83712877a917de925fb93de8aaa8443850e13f5e,,,,1832,1832,1,0,0,201,29,230
3/24/2020,AL,215,2106,,,0,,,,2321,c212a8468e01e67b91f78d053b0440276641d84f,,,,2321,2321,1,0,0,441,48,489
3/25/2020,AL,283,2529,,,0,,,,2812,2f45607dc8271295dd36e91588d93ebaa1bc3110,,,,2812,2812,1,0,0,423,68,491
3/26/2020,AL,506,3593,,,1,,,,4099,fbb44aa6b758e39d9ca03edb761c2463bc6d09e7,,,,4099,4099,1,1,0,1064,223,1287
3/27/2020,AL,587,4184,,,3,,,,4771,07d7df62adf5e730a3da751291c1fba471551397,,,,4771,4771,1,2,0,591,81,672
3/28/2020,AL,696,4184,,,3,,,,4880,63de5e074e982530fe275d036c8318c14eabf49f,,,,4880,4880,1,0,0,0,109,109
3/29/2020,AL,806,4184,,,4,,,,4990,0c2a7ece10172b9bd60b53579fd6d9a53f5e9f03,,,,4990,4990,1,1,0,0,110,110
3/30/2020,AL,859,5694,,,6,,,,6553,4552863c924f79edb83615e6b3642696b80a83cf,,,,6553,6553,1,2,0,1510,53,1563
3/31/2020,AL,981,6298,,,13,,,,7279,42eecba7755e229592355c2a117a0c76245f655a,,,,7279,7279,1,7,0,604,122,726
4/1/2020,AL,1077,6697,,,26,,,,7774,9bd398e733a5ca5042bde1fd8ce2831fc248b0b1,,,,7774,7774,1,13,0,399,96,495
4/2/2020,AL,1233,7503,,,32,,,,8736,1a78d31c95bd0d315fc61461107fcd8c66e53b43,,,,8736,8736,1,6,0,806,156,962
4/3/2020,AL,1432,8187,,,35,,,,9619,2321b8fce440dd33ac0feef0e923113ffffbf603,,,,9619,9619,1,3,0,684,199,883
3/6/2020,AR,0,6,0,,,,,,6,baadb217d3fcf5f4811488adcd8f345a2a29e391,,,,6,6,5,,,,,
3/7/2020,AR,0,6,0,,,,,,6,bdba8d05662d7b38e7309c5baa49cd20b63a536b,,,,6,6,5,0,0,0,0,0
